"ID","Oneida","Dialect","Oneida Audio","English","Oneida Example","Oneida Example Audio","Example in English","Image","Tags"
"37","teyukhiyatlihwakanelha’ thatítlu’","Oneida (Canada)","[sound:Oneida-37.mp3]","band office",,,,,"Oneida_(Canada) Locations"
"38","yutlʌnayʌtakhwa̲","Oneida (Canada)","[sound:Oneida-38.mp3]","church",,,,,"Oneida_(Canada) Locations"
"39","kʌ’nihʌná:sa tethuwatisnyétha̲’","Oneida (Canada)","[sound:Oneida-39.mp3]","daycare",,,,,"Oneida_(Canada) Locations"
"40","tethutkʌnyé:tha̲’","Oneida (Canada)","[sound:Oneida-40.mp3]","fairgrounds",,,,,"Oneida_(Canada) Locations"
"41","kalihunyʌnitsla’ lonatstelistu lati’tlu’","Oneida (Canada)","[sound:Oneida-41.mp3]","Education office",,,,,"Oneida_(Canada) Locations"
"42","twaskóhu̲","Oneida (Canada)","[sound:Oneida-42.mp3]","bridge",,,,,"Oneida_(Canada) Locations"
"43","Nikaha:wi̲","Oneida (Canada)","[sound:Oneida-43.mp3]","Time",,,,,"Oneida_(Canada) Time"
"44","Kukwí:te̲","Oneida (Canada)","[sound:Oneida-44.mp3]","Spring",,,,,"Oneida_(Canada) Time:_Seasons"
"45","Lonu’weskwaníhe’ tehutshikwá’eks","Oneida (Canada)","[sound:Oneida-45.mp3]","They enjoy playing ball",,,,,"Oneida_(Canada) Sports"
"46","Hanyo tehsalatat","Oneida (Canada)","[sound:Oneida-46.mp3]","Come on, Run fast!",,,,,"Oneida_(Canada) Sports"
"47","Sahkwislu","Oneida (Canada)","[sound:Oneida-47.mp3]","Try hard!",,,,,"Oneida_(Canada) Sports"
"48","ʌskwení nʌ kih","Oneida (Canada)","[sound:Oneida-48.mp3]","You can do it!",,,,,"Oneida_(Canada) Sports"
"49","ísi ya’sá:ti̲","Oneida (Canada)","[sound:Oneida-49.mp3]","You throw it!",,,,,"Oneida_(Canada) Sports"
"50","Takʌ’ nʌsa’nikulyak","Oneida (Canada)","[sound:Oneida-50.mp3]","Don't give up!",,,,,"Oneida_(Canada) Sports"
"51","Té:sek","Oneida (Canada)","[sound:Oneida-51.mp3]","You pick it up",,,,,"Oneida_(Canada) Sports"
"52","Hanyo! Hanyo!","Oneida (Canada)","[sound:Oneida-52.mp3]","Come on! Come on!",,,,,"Oneida_(Canada) Sports"
"53","Onkwat káti kʌ nén siksik otahsa̲’","Oneida (Canada)","[sound:Oneida-53.mp3]","Is the mullen used for medicine?",,,,,"Oneida_(Canada) Plants"
"54","Náhte’ né: onukwat nén olhohte’kó:","Oneida (Canada)","[sound:Oneida-54.mp3]","What do you use burdock as a medicine for?",,,,,"Oneida_(Canada) Plants"
"55","Ihseks kʌ nise: nén onitshewʌ́:ta̲’","Oneida (Canada)","[sound:Oneida-55.mp3]","Do you eat milkweed?",,,,,"Oneida_(Canada) Plants"
"56","Seká:se’ kʌ nén oneklʌta̲’","Oneida (Canada)","[sound:Oneida-56.mp3]","Do you like morels?",,,,,"Oneida_(Canada) Plants"
"57","Se’nikúlalak tá:kʌ só:tsi yʌsatla’nʌtak tsi’ yotú:ni nén yakohʌ:tálahse̲","Oneida (Canada)","[sound:Oneida-57.mp3]","Watch, don’t get to close to the poison ivy",,,,,"Oneida_(Canada) Plants"
"58","Oyu’kwa’uwe né: lutsta’ nén ukwehuwe nʌ tʌhatitalʌ nén shukwaya’tisu’","Oneida (Canada)","[sound:Oneida-58.mp3]","Native people use Indian tobacco when they talk to the Creator.",,,,,"Oneida_(Canada) Plants"
"59","Teyotskalatko:","Oneida (Canada)","[sound:Oneida-59.mp3]","Smartweed",,,,,"Oneida_(Canada) Plants"
"60","Sáyʌ: kʌ","Oneida (Canada)","[sound:Oneida-60.mp3]","Do you have _____?",,,,,"Oneida_(Canada) Misc."
"61","tah","Oneida (Canada)","[sound:Oneida-61.mp3]","no",,,,,"Oneida_(Canada) Yes_and_No"
"62","hʌ","Oneida (Canada)","[sound:Oneida-62.mp3]","yes",,,,,"Oneida_(Canada) Yes_and_No"
"63","watahslóte̲’","Oneida (Canada)","[sound:Oneida-63.mp3]","stick standing",,,,,"Oneida_(Canada) Misc."
"64","Wahsatlʌnayʌna káti’ kʌ nén yautatókʌhtan̲e̲’","Oneida (Canada)","[sound:Oneida-64.mp3]","Are you going to church on Sunday?",,,,,"Oneida_(Canada) Locations"
"65","Tah  Ʌtakta ki’ nʌ thoyʌhʌ́ke̲","Oneida (Canada)","[sound:Oneida-65.mp3]","No, I will go on Saturday.",,,,,"Oneida_(Canada) Locations"
"66","Kanatá:ke kʌ wahse’ nén ʌyólhʌn̲e̲’","Oneida (Canada)","[sound:Oneida-66.mp3]","Are you going to town tomorrow?",,,,,"Oneida_(Canada) Locations"
"67","Yautʌtá:u nén thé:tʌ̲","Oneida (Canada)","[sound:Oneida-67.mp3]","Yesterday was Monday.",,,,,"Oneida_(Canada) Time"
"68","Náhte’ káti’ nén thé:tʌ̲","Oneida (Canada)","[sound:Oneida-68.mp3]","What was yesterday?",,,,,"Oneida_(Canada) Time"
"69","Hʌ nu’uwa’ nén wiskatút","Oneida (Canada)","[sound:Oneida-69.mp3]","Yes, today is Friday.",,,,,"Oneida_(Canada) Time"
"70","Sanúhte’ kʌ náhte’ nu’uwa’ niwʌhnisló:tʌ̲","Oneida (Canada)","[sound:Oneida-70.mp3]","Do you know what kind of day it is today?",,,,,"Oneida_(Canada) Time"
"71","Yautatokʌ́htu̲","Oneida (Canada)","[sound:Oneida-71.mp3]","Sunday",,,,,"Oneida_(Canada) Time:_Days_of_the_Week"
"72","Ʌtakta","Oneida (Canada)","[sound:Oneida-72.mp3]","Saturday",,,,,"Oneida_(Canada) Time:_Days_of_the_Week"
"73","Wiskatút","Oneida (Canada)","[sound:Oneida-73.mp3]","Friday",,,,,"Oneida_(Canada) Time:_Days_of_the_Week"
"74","Kayelihatút","Oneida (Canada)","[sound:Oneida-74.mp3]","Thursday",,,,,"Oneida_(Canada) Time:_Days_of_the_Week"
"75","Ahsʌhatút","Oneida (Canada)","[sound:Oneida-75.mp3]","Wednesday",,,,,"Oneida_(Canada) Time:_Days_of_the_Week"
"76","Teknihatút","Oneida (Canada)","[sound:Oneida-76.mp3]","Tuesday",,,,,"Oneida_(Canada) Time:_Days_of_the_Week"
"77","Yautʌtá:u","Oneida (Canada)","[sound:Oneida-77.mp3]","Monday",,,,,"Oneida_(Canada) Time:_Days_of_the_Week"
"78","thé:tʌ̲:","Oneida (Canada)","[sound:Oneida-78.mp3]","yesterday",,,,,"Oneida_(Canada) Time:_Days_of_the_Week"
"79","Ʌyólhʌn̲e̲’","Oneida (Canada)","[sound:Oneida-79.mp3]","Tomorrow",,,,,"Oneida_(Canada) Time"
"80","tsi’niwʌhnisló:tʌ̲","Oneida (Canada)","[sound:Oneida-80.mp3]","The kind of day",,,,,"Oneida_(Canada) Time"
"81","Tekni yawʌlé: niwʌhnítake nén tsyohslát","Oneida (Canada)","[sound:Oneida-81.mp3]","There are twelve months in one year.",,,,,"Oneida_(Canada) Time"
"82","Tó: kati’ né: niwʌhnítake nén tsyohslát","Oneida (Canada)","[sound:Oneida-82.mp3]","How many months in one year?",,,,,"Oneida_(Canada) Time"
"83","Hʌ  nʌ kyok kwi tsyohslát sʌha’ wa’yukwakstʌhane̲’","Oneida (Canada)","[sound:Oneida-83.mp3]","Yes, we are one year older.",,,,,"Oneida_(Canada) Time"
"84","Kwa’ nyóh kwi yosnóle: tsyohslát yuskáhewe̲’","Oneida (Canada)","[sound:Oneida-84.mp3]","How fast the year went by.",,,,,"Oneida_(Canada) Celebrations:_New_Year's"
"85","Hʌ nʌ ki’ á:se yohslá:te̲","Oneida (Canada)","[sound:Oneida-85.mp3]","Yes it is the New Year.",,,,,"Oneida_(Canada) Celebrations:_New_Year's"
"86","Nʌ kʌ á:se yohslá:te̲","Oneida (Canada)","[sound:Oneida-86.mp3]","Is it New Year's now?",,,,,"Oneida_(Canada) Celebrations:_New_Year's"
"87","a:sé yohsláte̲","Oneida (Canada)","[sound:Oneida-87.mp3]","new year",,,,,"Oneida_(Canada) Celebrations:_New_Year's"
"88","tsyohslát","Oneida (Canada)","[sound:Oneida-88.mp3]","one year",,,,,"Oneida_(Canada) Time"
"89","swʌhnítat","Oneida (Canada)","[sound:Oneida-89.mp3]","one month",,,,,"Oneida_(Canada) Time"
"90","swʌ:tát","Oneida (Canada)","[sound:Oneida-90.mp3]","one week",,,,,"Oneida_(Canada) Time"
"91","swahsútat","Oneida (Canada)","[sound:Oneida-91.mp3]","one night",,,,,"Oneida_(Canada) Time"
"92","swʌhnisláte̲","Oneida (Canada)","[sound:Oneida-92.mp3]","one day",,,,,"Oneida_(Canada) Time"
"93","kwa’suteke̲","Oneida (Canada)","[sound:Oneida-93.mp3]","night time",,,,,"Oneida_(Canada) Time"
"94","kwʌ’teke̲","Oneida (Canada)","[sound:Oneida-94.mp3]","day time",,,,,"Oneida_(Canada) Time"
"95","astehtsi̲'","Oneida (Canada)","[sound:Oneida-95.mp3]","morning",,,,,"Oneida_(Canada) Time"
"96","yo'kalas","Oneida (Canada)","[sound:Oneida-96.mp3]","evening",,,,,"Oneida_(Canada) Time"
"97","Hʌ é:so ki’ kanyé:yʌ̲","Oneida (Canada)","[sound:Oneida-97.mp3]","Yes there is a lot of snow (on the ground)",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"98","Yothó:le kʌ tsi’ nú: thanákehl̲e̲’","Oneida (Canada)","[sound:Oneida-98.mp3]","Is is cold where he lives?",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"99","Otholé:ke né: nu: thanakehle’ shakó:wihe̲’","Oneida (Canada)","[sound:Oneida-99.mp3]","Santa Claus lives up north.",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"100","ónyʌte̲’","Oneida (Canada)","[sound:Oneida-100.mp3]","snow",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"101","teyulahtakwanéta’asta̲","Oneida (Canada)","[sound:Oneida-101.mp3]","over shoes",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"102","teyóhsehs ahta’shúha̲","Oneida (Canada)","[sound:Oneida-102.mp3]","high top shoes",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"103","otholé:ke̲","Oneida (Canada)","[sound:Oneida-103.mp3]","north",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"104","tsi’ ní wʌhnislo:tʌse̲’","Oneida (Canada)","[sound:Oneida-104.mp3]","The kind of day (weather)",,,,,"Oneida_(Canada) Weather"
"105","yohtánawʌ atslunya’khwa̲","Oneida (Canada)","[sound:Oneida-105.mp3]","warm clothing",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"106","teyonyo’kwatá:se̲","Oneida (Canada)","[sound:Oneida-106.mp3]","Snow is twirling around.",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"107","lutó:lats","Oneida (Canada)","[sound:Oneida-107.mp3]","they are hunting",,,,,"Oneida_(Canada) Hunting"
"108","kanyé:yʌ̲","Oneida (Canada)","[sound:Oneida-108.mp3]","there is snow on the ground",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"109","yothó:le̲","Oneida (Canada)","[sound:Oneida-109.mp3]","it is cold",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"110","Sanute’ kʌ tsi’ nʌ ya’kahewe’ tsi’ na’teyutatáwihe̲’","Oneida (Canada)","[sound:Oneida-110.mp3]","Do you know it is time to exchange gifts?",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"111","Tah  tsi’ ki’ ní: tkakwaheleko nú: wahke̲’","Oneida (Canada)","[sound:Oneida-111.mp3]","No! I am going where there’s lots to eat(or feast)",,,,,"Oneida_(Canada) Celebrations"
"112","Wahslutotakó:na’ káti’ kʌ","Oneida (Canada)","[sound:Oneida-112.mp3]","Are you going to the Christmas concert?",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"113","Oskanú:tu né: ʌthatilú:tʌ shakó:wihe’ lá:osleht waté:slehse̲’","Oneida (Canada)","[sound:Oneida-113.mp3]","reindeer will pull Santa’s sleigh",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"114","Nʌ káti kʌ né: saya’taslú:ni nén kalute̲’","Oneida (Canada)","[sound:Oneida-114.mp3]","Did you decorate the tree yet?",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"115","Hʌ nʌ ki’ yakahwe’ utá:le’ shakó:wihe̲’","Oneida (Canada)","[sound:Oneida-115.mp3]","Yes, it is time for Santa Claus to come.",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"116","Nʌ kʌ tho yakahwe’ nén wʌhnisló:wan","Oneida (Canada)","[sound:Oneida-116.mp3]","Is it almost Christmas?",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"117","kakhwahele̲’","Oneida (Canada)","[sound:Oneida-117.mp3]","feast",,,,,"Oneida_(Canada) Celebrations"
"118","latilutotakwas","Oneida (Canada)","[sound:Oneida-118.mp3]","Christmas concert",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"119","kalu:tóte̲’","Oneida (Canada)","[sound:Oneida-119.mp3]","(there is) a tree standing",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"120","kaya’taslú:ni̲","Oneida (Canada)","[sound:Oneida-120.mp3]","decorated",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"121","kakhwaku’ushu̲","Oneida (Canada)","[sound:Oneida-121.mp3]","good food",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"122","waté:slehse̲’","Oneida (Canada)","[sound:Oneida-122.mp3]","sleigh",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"123","shakó:wihe̲’","Oneida (Canada)","[sound:Oneida-123.mp3]","Santa Claus or he who gives",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"124","oskanú:tu̲","Oneida (Canada)","[sound:Oneida-124.mp3]","reindeer",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"125","teyutatá:wihe̲’","Oneida (Canada)","[sound:Oneida-125.mp3]","exchanging gifts",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"126","wʌhnislo:wán","Oneida (Canada)","[sound:Oneida-126.mp3]","big day or Christmas",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"127","Takʌ’ ʌsesa’nikulhʌ tsi’ ʌsatste’ yunihtyákta̲","Oneida (Canada)","[sound:Oneida-127.mp3]","Don’t forget to wear the scarf.",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"128","Ʌsatste’ kwi: anyá:nawʌ̲","Oneida (Canada)","[sound:Oneida-128.mp3]","you wear gloves",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"129","Ʌwá:tu ki’ onyʌte’ laya’tunyá:tu ʌtwatú:ni̲","Oneida (Canada)","[sound:Oneida-129.mp3]","we can make a snow man",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"130","Ʌwá:tu ki’ onyʌtá:ke ʌtwatnutolyahte̲’","Oneida (Canada)","[sound:Oneida-130.mp3]","we can play on the snow",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"131","Nok ʌwá:tu nén kohsla’kekha’ atslunyá:khwa’ ʌtwatste̲’","Oneida (Canada)","[sound:Oneida-131.mp3]","we now have to wear winter clothing",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"132","Wata’klokwaskó: wʌhni’tatati’ latina’tukhwa’ nén lotikstʌhoku","Oneida (Canada)","[sound:Oneida-132.mp3]","the elders call it the big snow moon.",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"133","Nʌ ki’ tsi’ nihatika:latuhe’ wʌhni’tatati","Oneida (Canada)","[sound:Oneida-133.mp3]","it is now Storytelling Moon",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"134","teyohsi:tute̲","Oneida (Canada)","[sound:Oneida-134.mp3]","longjohns",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"135","wata’klokwaskó: wʌhni’tatati","Oneida (Canada)","[sound:Oneida-135.mp3]","big snow moon",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"136","latikalatuhe’ wʌhni’tatati","Oneida (Canada)","[sound:Oneida-136.mp3]","storytelling moon",,,,,"Oneida_(Canada) Time:_Seasons:_Winter"
"137","onyʌte’ laya’tunyá:tu","Oneida (Canada)","[sound:Oneida-137.mp3]","snowman (or he is made from snow)",,,,,"Oneida_(Canada) Celebrations:_Christmas"
"138","lonatnekaklitslú:ni","Oneida (Canada)","[sound:Oneida-138.mp3]","the soup is made",,,,,"Oneida_(Canada) Food"
"139","teyeyʌtahlith̲a̲’","Oneida (Canada)","[sound:Oneida-139.mp3]","she is splitting(chopping) the wood",,,,,"Oneida_(Canada) Hunting"
"140","luwayʌslus tsi’kwilʌtu̲’","Oneida (Canada)","[sound:Oneida-140.mp3]","she is preparing the squirrel",,,,,"Oneida_(Canada) Hunting"
"141","nʌ lohsu la’tuslaké:tas","Oneida (Canada)","[sound:Oneida-141.mp3]","she has scraped all the fat off the raccoon",,,,,"Oneida_(Canada) Hunting"
"142","o’tusla laketas la’tuslaké:tas","Oneida (Canada)","[sound:Oneida-142.mp3]","he is scraping the raccoon pelt",,,,,"Oneida_(Canada) Hunting"
"143","luwayʌslus kwa’yʌh̲a̲’","Oneida (Canada)","[sound:Oneida-143.mp3]","skinning a rabbit",,,,,"Oneida_(Canada) Hunting"
"144","luwayʌslus ʌtílu̲","Oneida (Canada)","[sound:Oneida-144.mp3]","skinning a raccoon",,,,,"Oneida_(Canada) Hunting"
"145","ʌtilu laya’tahawe̲’","Oneida (Canada)","[sound:Oneida-145.mp3]","he is holding a raccoon",,,,,"Oneida_(Canada) Hunting"
"146","shakolihunyʌníhe’ ahutlístay̲ʌ̲’","Oneida (Canada)","[sound:Oneida-146.mp3]","he is teaching about trapping",,,,,"Oneida_(Canada) Hunting"
"147","yakote’wá:lute’ oskanútu̲","Oneida (Canada)","[sound:Oneida-147.mp3]","she is frying the deer meat",,,,,"Oneida_(Canada) Hunting"
"148","tehni’walulith̲a̲’","Oneida (Canada)","[sound:Oneida-148.mp3]","cut the meat",,,,,"Oneida_(Canada) Hunting"
"149","lowanikwʌsátahkwas oskanu:tu̲","Oneida (Canada)","[sound:Oneida-149.mp3]","draining the blood off the deer",,,,,"Oneida_(Canada) Hunting"
"150","lakahlostatáhkwas","Oneida (Canada)","[sound:Oneida-150.mp3]","he is gutting the deer",,,,,"Oneida_(Canada) Hunting"
"151","oskanu:tú laya’tihal̲e̲’","Oneida (Canada)","[sound:Oneida-151.mp3]","the deer is hanging",,,,,"Oneida_(Canada) Hunting"
"152","kayelihatut kwi ʌskuk","Oneida (Canada)","[sound:Oneida-152.mp3]","see you Thursday",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"153","hetsha’takénha’ yahashʌ thí:kʌ̲","Oneida (Canada)","[sound:Oneida-153.mp3]","you help carry that (item)",,,,,"Oneida_(Canada) Hunting"
"154","se’nikulalak thí:kʌ̲","Oneida (Canada)","[sound:Oneida-154.mp3]","be careful with that!",,,,,"Oneida_(Canada) Hunting"
"155","ha  o:nʌ̲","Oneida (Canada)","[sound:Oneida-155.mp3]","Go! or Action!",,,,,"Oneida_(Canada) Photography_(Taking_Pictures)"
"156","tsya tal o:nʌ̲","Oneida (Canada)","[sound:Oneida-156.mp3]","picture is ready",,,,,"Oneida_(Canada) Photography_(Taking_Pictures)"
"157","kaya’tálh̲a̲’","Oneida (Canada)","[sound:Oneida-157.mp3]","camera",,,,,"Oneida_(Canada) Photography_(Taking_Pictures)"
"158","Kahule’ ki’ khále’ onʌya ʌhunutste tsi’ lutó:lats","Oneida (Canada)","[sound:Oneida-158.mp3]","They are going to use a gun and bullets for their hunt.",,,,,"Oneida_(Canada) Hunting"
"159","Tah  yeya’akta kih lútsta̲","Oneida (Canada)","[sound:Oneida-159.mp3]","No, they are using the spear.",,,,,"Oneida_(Canada) Hunting"
"160","Lútsta káti kʌ nén kánhya̲’","Oneida (Canada)","[sound:Oneida-160.mp3]","Are they using the flint?",,,,,"Oneida_(Canada) Hunting"
"161","Hʌ tahnú: a’ʌna khále’ kayúkwile’ lútsta̲","Oneida (Canada)","[sound:Oneida-161.mp3]","Yes and they are using the bow and arrow.",,,,,"Oneida_(Canada) Hunting"
"162","Lutó:lats káti kʌ nén lʌnukweshúh̲a̲","Oneida (Canada)","[sound:Oneida-162.mp3]","Are the men hunting?",,,,,"Oneida_(Canada) Hunting"
"163","Hʌ wahatolátha’ kih","Oneida (Canada)","[sound:Oneida-163.mp3]","Yes he is going hunting.",,,,,"Oneida_(Canada) Hunting"
"164","Nʌ kʌ lató:lats nén lanikʌtluh̲a̲","Oneida (Canada)","[sound:Oneida-164.mp3]","Is the young man hunting?",,,,,"Oneida_(Canada) Hunting"
"165","ʌhayʌ́:sele̲’","Oneida (Canada)","[sound:Oneida-165.mp3]","To skin an animal.",,,,,"Oneida_(Canada) Hunting"
"166","kutilyo’shuh̲a̲","Oneida (Canada)","[sound:Oneida-166.mp3]","wild animals",,,,,"Oneida_(Canada) Hunting"
"167","Onʌya̲:","Oneida (Canada)","[sound:Oneida-167.mp3]","bullet",,,,,"Oneida_(Canada) Hunting"
"168","kahule̲’","Oneida (Canada)","[sound:Oneida-168.mp3]","gun",,,,,"Oneida_(Canada) Hunting"
"169","Kanhya̲’","Oneida (Canada)","[sound:Oneida-169.mp3]","flint",,,,,"Oneida_(Canada) Hunting"
"170","Yeya’akta̲","Oneida (Canada)","[sound:Oneida-170.mp3]","spear",,,,,"Oneida_(Canada) Hunting"
"171","kayú:kwile̲’","Oneida (Canada)","[sound:Oneida-171.mp3]","arrow",,,,,"Oneida_(Canada) Hunting"
"172","a’ʌna̲","Oneida (Canada)","[sound:Oneida-172.mp3]","bow",,,,,"Oneida_(Canada) Hunting"
"173","Lató:lats","Oneida (Canada)","[sound:Oneida-173.mp3]","He is hunting.",,,,,"Oneida_(Canada) Hunting"
