ID,Oneida,English,Audio File
136,"latikalatuhe’ wʌhni’tatati","storytelling moon","./audio/136.mp3"
137,"onyʌte’ laya’tunyá:tu","snowman (or he is made from snow)","./audio/137.mp3"
138,"lonatnekaklitslú:ni","the soup is made","./audio/138.mp3"
139,"teyeyʌtahlith̲a̲’","she is splitting(chopping) the wood","./audio/139.mp3"
140,"luwayʌslus tsi’kwilʌtu̲’","she is preparing the squirrel","./audio/140.mp3"
141,"nʌ lohsu la’tuslaké:tas","she has scraped all the fat off the raccoon","./audio/141.mp3"
142,"o’tusla laketas la’tuslaké:tas","he is scraping the raccoon pelt","./audio/142.mp3"
143,"luwayʌslus kwa’yʌh̲a̲’","skinning a rabbit","./audio/143.mp3"
144,"luwayʌslus ʌtílu̲","skinning a raccoon","./audio/144.mp3"
145,"ʌtilu laya’tahawe̲’","he is holding a raccoon","./audio/145.mp3"
146,"shakolihunyʌníhe’ ahutlístay̲ʌ̲’","he is teaching about trapping","./audio/146.mp3"
147,"yakote’wá:lute’ oskanútu̲","she is frying the deer meat","./audio/147.mp3"
148,"tehni’walulith̲a̲’","cut the meat","./audio/148.mp3"
149,"lowanikwʌsátahkwas oskanu:tu̲","draining the blood off the deer","./audio/149.mp3"
150,"lakahlostatáhkwas","he is gutting the deer","./audio/150.mp3"
151,"oskanu:tú laya’tihal̲e̲’","the deer is hanging","./audio/151.mp3"
152,"kayelihatut kwi ʌskuk","see you Thursday","./audio/152.mp3"
153,"hetsha’takénha’ yahashʌ thí:kʌ̲","you help carry that (item)","./audio/153.mp3"
154,"se’nikulalak thí:kʌ̲","be careful with that!","./audio/154.mp3"
155,"ha  o:nʌ̲","Go! or Action!","./audio/155.mp3"
156,"tsya tal o:nʌ̲","picture is ready","./audio/156.mp3"
157,"kaya’tálh̲a̲’","camera","./audio/157.mp3"
158,"Kahule’ ki’ khále’ onʌya ʌhunutste tsi’ lutó:lats","They are going to use a gun and bullets for their hunt.","./audio/158.mp3"
159,"Tah  yeya’akta kih lútsta̲","No, they are using the spear.","./audio/159.mp3"
160,"Lútsta káti kʌ nén kánhya̲’","Are they using the flint?","./audio/160.mp3"
161,"Hʌ tahnú: a’ʌna khále’ kayúkwile’ lútsta̲","Yes and they are using the bow and arrow.","./audio/161.mp3"
162,"Lutó:lats káti kʌ nén lʌnukweshúh̲a̲","Are the men hunting?","./audio/162.mp3"
163,"Hʌ wahatolátha’ kih","Yes he is going hunting.","./audio/163.mp3"
164,"Nʌ kʌ lató:lats nén lanikʌtluh̲a̲","Is the young man hunting?","./audio/164.mp3"
165,"ʌhayʌ́:sele̲’","To skin an animal.","./audio/165.mp3"
166,"kutilyo’shuh̲a̲","wild animals","./audio/166.mp3"
167,"Onʌya̲:","bullet","./audio/167.mp3"
168,"kahule̲’","gun","./audio/168.mp3"
169,"Kanhya̲’","flint","./audio/169.mp3"
170,"Yeya’akta̲","spear","./audio/170.mp3"
171,"kayú:kwile̲’","arrow","./audio/171.mp3"
172,"a’ʌna̲","bow","./audio/172.mp3"
173,"Lató:lats","He is hunting.","./audio/173.mp3"
174,"Lute: kwi tekahwistáne’ sʌ","They say it is also going to be icy.","./audio/174.mp3"
175,"Hʌ wé:ne kih tsi’ tyohkwislu yota’klokwʌ","yes, I think it is snowing quite hard.","./audio/175.mp3"
176,"Wé:ne tsi’ yota’klókwʌ","I think it’s snowing.","./audio/176.mp3"
177,"Hʌ tsi’ ki’ niyowelahwistu̲","Yes, the wind is really cold.","./audio/177.mp3"
178,"Nʌ kʌ tayotholati","Is it getting cold?","./audio/178.mp3"
179,"Hʌ wahutolatha’ kih","Yes, they are going hunting.","./audio/179.mp3"
180,"Lutó:lats kʌ nén kʌ’nitotiyʌsah","Are the young men hunting?","./audio/180.mp3"
181,"Yota’klokwʌhatyese̲’","Snowing off and on.","./audio/181.mp3"
182,"Yowelahwistu̲","cold wind","./audio/182.mp3"
183,"Teyohwiskwat","It is slippery.","./audio/183.mp3"
184,"Yohwisuti","They are ice pellets.","./audio/184.mp3"
185,"Kanye:yʌ̲","There is snow on the ground.","./audio/185.mp3"
186,"Tayohtsi’kláti","Clouds are coming.","./audio/186.mp3"
187,"Tayota’klokwʌháti","Snow is coming.","./audio/187.mp3"
188,"Tayotholáti","Cold (weather) is coming.","./audio/188.mp3"
189,"kutilyoh","wild animal","./audio/189.mp3"
190,"Luto:lats","They are hunting.","./audio/190.mp3"
191,"We:ne ki’ wah","I think so","./audio/191.mp3"
192,"Thokʌ wahse’ tsi’ tehútkwa̲’","Are you going to where they are dancing?","./audio/192.mp3"
193,"Kwa’nyohkwi: satshá:nit","Boy, you are a good worker!","./audio/193.mp3"
194,"Wakheya’takenhása’ nén kutikhú:ni̲h̲e̲’","I am going to help the cooks.","./audio/194.mp3"
195,"Wa’katahusatata’ ki’ nén kalihwí:yo̲","I am going to listen to the good message.","./audio/195.mp3"
196,"Hʌ  ok ni’í:se̲","Yes, how about you?","./audio/196.mp3"
197,"Kanuhsésne kʌ wáhse̲’","Are you going to the longhouse?","./audio/197.mp3"
198,"tetwatanʌhelá:tu","let us give thanks","./audio/198.mp3"
199,"kakhwa’shú:h̲a̲","different kinds of foods","./audio/199.mp3"
200,"kutikhu:níhe̲’","the cooks","./audio/200.mp3"
201,"tehútkwa̲’","dancers","./audio/201.mp3"
202,"kanuhelatúksla’","thanksgiving address","./audio/202.mp3"
203,"kalihwíy̲o̲","good message","./audio/203.mp3"
204,"kanushésn̲e̲","longhouse","./audio/204.mp3"
205,"kʌtyóhkwa̲","people","./audio/205.mp3"
206,"tehutanʌhelá:tuhe̲’","giving thanks","./audio/206.mp3"
207,"Yʌhʌshawe’ kʌ onu’usláko yetsistalakhwa̲’","Are you going to take a pumpkin lantern?","./audio/207.mp3"
208,"Hʌ wé:ne kwi laskan akwʌnya’ ʌkatse̲’","Yes I’m going to put on a skeleton costume.","./audio/208.mp3"
209,"Ʌsahste’ kʌ yohtlut akwʌnya’","Are you going to wear a scary costume?","./audio/209.mp3"
210,"Nʌ ki’ ya’kahewe’ nén ahalihwahsahw̲ʌ̲","It is now time to tell of the male responsibility.","./audio/210.mp3"
211,"Nʌ ki’ kanana’kene nʌ ya’kahewe’ ahutekhwaló:loke̲’","It is now fall or the start of the male season and it is time to have a feast.","./audio/211.mp3"
212,"yutkuhsolokta̲’","mask","./audio/212.mp3"
213,"ahsʌ niwashʌ uska","thirty first","./audio/213.mp3"
214,"tetyó:kalahse̲’","dark night","./audio/214.mp3"
215,"laskan","skeleton or ancestors gone ahead","./audio/215.mp3"
216,"onu’uslako:","pumpkin","./audio/216.mp3"
217,"yohtlut akwʌnya’","scary costume","./audio/217.mp3"
218,"lathʌtó:lihe̲’","scarecrow","./audio/218.mp3"
219,"yohsutáhtlut","halloween  or hallows eve","./audio/219.mp3"
220,"ʌhalihwahsahw̲ʌ̲","Tells of male responsibility.","./audio/220.mp3"
221,"wahutekhwaló:lok","They are having a feast.","./audio/221.mp3"
222,"kanana’ken̲e̲","starting of the male season or ""fall""","./audio/222.mp3"
223,"Tyutatlihunyʌní:tha’ wahne’","They are going to the school.","./audio/223.mp3"
224,"Kátsha’ nu: wá:ne’ tehniksa","Where are the two boys going?","./audio/224.mp3"
225,"Tyutekhunyá:tha’ wa’yako","We are going to the restaurant.","./audio/225.mp3"
226,"Kátsha’ nu: weso","Where are all of you going?","./audio/226.mp3"
227,"Tyutʌhni:núhe’ wa’yako","We are going to the store","./audio/227.mp3"
228,"Kátsha’ nu: wesene̲","Where are you two going?","./audio/228.mp3"
229,"Ukwehuwé:ne wáhke̲’","I am going to the reserve.","./audio/229.mp3"
230,"Kátsha’ nu: wáhse̲’","Where are you going?","./audio/230.mp3"
231,"Kanatá:ke ni: teknákehl̲e̲","I reside in town","./audio/231.mp3"
232,"Ukwehuwé:ne ni: teknákehl̲e̲","I reside on the reserve.","./audio/232.mp3"
233,"ukwehú:w̲e̲","original person","./audio/233.mp3"
234,"Kátsha' nu: tesnákehl̲e̲","Where do you reside?","./audio/234.mp3"
235,"Hʌ:  kwah nyo kwi: né: lohstelist","Yes, and he was funny.","./audio/235.mp3"
236,"Wahetshalóloke’ kʌ otsistóhkwa wahó:sele’ nén tékni teyokahkwʌtute̲’","Did you watch the clown ride the two wheeler?","./audio/236.mp3"
237,"Hʌ: é:so kih","Yes, there are a lot.","./audio/237.mp3"
238,"E:so kʌ kayá:lotu̲","Is there a lot of tents?","./audio/238.mp3"
239,"Tah  otsistohkwa ni: wa’kheyatloloke̲’","No, I watched the clowns.","./audio/239.mp3"
240,"Wahsatloloke’ kʌ nén kohsa:tʌs tekuleluhe’","Did you watch the horse races?","./audio/240.mp3"
241,"tékni teyokahkwʌ́:tute̲’","bicycle or two wheeler","./audio/241.mp3"
242,"otsistóhkwa","clown","./audio/242.mp3"
243,"tehutyelunyuhe̲’","performers","./audio/243.mp3"
244,"kakhwa’shuha̲","foods (many types)","./audio/244.mp3"
245,"kayalo:tu̲","tents","./audio/245.mp3"
246,"latiksa’shuha tehuleluhe’","children racing","./audio/246.mp3"
247,"kohsá:tʌs tekuleluhe’","race horses","./audio/247.mp3"
248,"Tah só:tsi’ yohsno:le tsi’ tewahkwatá:ses̲","No it goes around too fast.","./audio/248.mp3"
249,"Ihselhe’ kʌ a:satítan yakotsihalatenyatha̲’","Are you going on the twirl ride?","./audio/249.mp3"
250,"Hʌ́: swahyó:wane’ wá:yat i:kelhe’ takatna’talakʌ́:ni̲","Yes, I have an apple pie for the contest.","./audio/250.mp3"
251,"Sá:yʌ kʌ wá:yat tasatna’talakʌ́n̲i̲","Do you have a pie for the pie contest?","./audio/251.mp3"
252,"Hʌ: i:kelhe’ takatkʌnyéhsa’ atsyók","Yes, I want to go to the fair later.","./audio/252.mp3"
253,"Wa’tehshatkʌnyéhsa’ kʌ nu’uwa̲’","Are you going to the fair this time?","./audio/253.mp3"
254,"tehutkʌnyéhse̲’","fair","./audio/254.mp3"
255,"tasatkʌ́:ni̲","to enter a contest","./audio/255.mp3"
256,"lutita’asta̲","rides","./audio/256.mp3"
257,"yakotsihalatenyátha̲","the twirl ride","./audio/257.mp3"
258,"swahyó:wan̲e̲’","apple","./audio/258.mp3"
259,"kohsá:tʌs","horse","./audio/259.mp3"
260,"lutekhwaní:nuhe̲’","food vendors","./audio/260.mp3"
261,"lotinʌlahsluniháti","parade","./audio/261.mp3"
262,"Kwah ki’nok kayé: ní:ku̲","Just four of them","./audio/262.mp3"
263,"To: niku onu’usehle’ tʌkʌ:sel̲e̲’","How many pickles do you want me to peel?","./audio/263.mp3"
264,"Ne: kwí tʌ sla’wistakʌsehle’ onu’usehl̲e̲’","You should peel the cucumbers.","./audio/264.mp3"
265,"Tʌsatnu’uslahyo:tsiste’ kʌ","Are you going to make salted pickles?","./audio/265.mp3"
266,"Hʌ: ikelhe’ ki’ akatayalit yotshe’tʌ́:tu:h̲e̲’","Yes I want to can some pears.","./audio/266.mp3"
267,"ʌsatayalite’ kʌ nu’uwa̲’","Are you going to can fruit this time?","./audio/267.mp3"
268,"satá:yaliht","can fruit","./audio/268.mp3"
269,"tehsatnu’uhslahyo:tsiste̲’","make dill pickles","./audio/269.mp3"
270,"satahyátat","dry the fruit","./audio/270.mp3"
271,"swisto:kwanust káhik","freeze the fruit","./audio/271.mp3"
272,"tehsnu’slá:lit","cut up the cucumbers","./audio/272.mp3"
273,"sahyohale̲’","wash the fruit","./audio/273.mp3"
274,"ʌslihatet kahik","boil the fruit","./audio/274.mp3"
275,"tehsahyakʌ:sel̲","peel the fruit","./audio/275.mp3"
276,"katshetaku setan","put in the jar","./audio/276.mp3"
277,"snú:tek","put the lid on","./audio/277.mp3"
278,"yutekhwayʌ:he’ nikaha:w̲í̲:","storing food time","./audio/278.mp3"
279,"Hʌ: tahnuwi: wa’ketsyá:kʌ̲","Yes, and I worked very hard.","./audio/279.mp3"
280,"Hʌ: okni’ i:se̲’","Yes, did you?","./audio/280.mp3"
281,"Wa’tehsatu:kóhte’ kʌ","Did you graduate?","./audio/281.mp3"
282,"Tah ahsuki te’wakatya’tawihtsláyʌ tatnú:wa’ ʌyolhʌne’ kanatá:ke wa’yakne’ aknúlha","No I don't have a dress yet maybe tomorrow my mother and I are going uptown.","./audio/282.mp3"
283,"Nʌ kʌ sá:yʌ: atyá:tawiht tsi’ káyʌ satstá:n̲e̲’","Do you have a dress yet that you are going to wear?","./audio/283.mp3"
284,"Né: tho:ne’ kwi: tehutkwáne’ tsi’ tyutatlihunyʌnitha̲’","They will have a dance at the school.","./audio/284.mp3"
285,"Ne: ka’i:kʌ nikaha:wi nale’ wa’kwatolishʌ yakwatayatha̲’","This is the time of the year that the students take a holiday from school.","./audio/285.mp3"
286,"ka’slehtés","limousine","./audio/286.mp3"
287,"Wa’ketsyá:kʌ̲","I worked very hard","./audio/287.mp3"
288,"Atyá:tawiht","a dress","./audio/288.mp3"
289,"Wa’tesatkwá:na’ kʌ","are you going to the dance?","./audio/289.mp3"
290,"Tehutkwan̲e̲’","they are having a dance","./audio/290.mp3"
291,"Wa’tyutú:kote̲’","she graduated","./audio/291.mp3"
292,"Wa’thatú:kote̲’","he graduated","./audio/292.mp3"
293,"Wa’tesatú:kote̲’","you graduated (passed a grade)","./audio/293.mp3"
294,"Lutawyáth̲a̲","the students","./audio/294.mp3"
295,"Wahutolíshʌ̲’","they rest","./audio/295.mp3"
296,"Nʌ kʌ thoha nʌ: ʌwahyʌtane̲’","Are the berries almost done?","./audio/296.mp3"
297,"Wé:ne ʌwá:tu é:so ʌkayako̲","I guess I can pick a lot of berries.","./audio/297.mp3"
298,"Khále’ niwahyowanʌse̲’","And the berries are real big.","./audio/298.mp3"
299,"Tahnu wé:ni tsi’ niyotahyú:ni̲","It looks like there are a lot of berries.","./audio/299.mp3"
300,"Ni:yót ni:yohahe:súse̲’","Look at the long rows","./audio/300.mp3"
301,"Hʌ: tahnu: tsi’ nikahʌtowá:n","Yes, and it is a big field","./audio/301.mp3"
302,"Wahsatkatho’ kʌ i:si’ nukwa tkahʌtayʌ nén awʌhihte̲’","Do you see the strawberry field over there?","./audio/302.mp3"
303,"ʌswisto:kwanuste̲’","freeze them","./audio/303.mp3"
304,"kʌ’ niwahya:sa’","small berries","./audio/304.mp3"
305,"uyʌ:tane̲’","berries are done","./audio/305.mp3"
306,"teyohyahyotsis","sour fruit","./audio/306.mp3"
307,"ʌsata:yálite̲","can fruit","./audio/307.mp3"
308,"wa’katnan̲e̲’","I filled (a basket)","./audio/308.mp3"
309,"ashé:nute̲","basket","./audio/309.mp3"
310,"yohahe:súse̲̲’","long rows","./audio/310.mp3"
311,"Kahʌtowá:n","big field","./audio/311.mp3"
312,"kahʌ:táyʌ̲","field","./audio/312.mp3"
313,"Wé:ne tsi’ nʌ kukwité:ne tsi’ nʌ é:so yontlatute’ nén kalutó:tu̲","it must be springtime because there are a lot of leaves on the trees.","./audio/313.mp3"
314,"O’nu:wa: kʌ ʌsátste’ nén ʌsata’slú:ni̲","are you going to use the strips of black ash when you make a basket?","./audio/314.mp3"
315,"Takʌ ʌtesahítyak tho ká:yʌ nén o:nhahte̲’","don’t trip on the branch laying there.","./audio/315.mp3"
316,"Wé:ne tsi’ latunyá:ne’ nén wáhta óshes","I guess he’s going to make maple syrup","./audio/316.mp3"
317,"Laksótha wahahkalotʌ nén wáhta kalútote̲’","my grandfather tapped the maple tree.","./audio/317.mp3"
318,"Né: kʌ nén kwah ok thikuné:se’ ótsitsi","is it the wild flowers?","./audio/318.mp3"
319,"Hao’ tsi’ kalhayʌ’ yeheten tnitsi’tsyakóna̲","let’s go to the forest to gather flowers.","./audio/319.mp3"
320,"óshes","sap or syrup","./audio/320.mp3"
321,"kalutó:tu̲:","group of trees","./audio/321.mp3"
322,"kelhíhte̲’","forest trees","./audio/322.mp3"
323,"o’nú:w̲a̲:","strips of black ash","./audio/323.mp3"
324,"ká:nʌhe̲’","seed","./audio/324.mp3"
325,"kaská:wayʌ̲’","bushes","./audio/325.mp3"
326,"onláhte̲’","leaf","./audio/326.mp3"
327,"kalhayʌ’","forest","./audio/327.mp3"
328,"o:nháhte̲’","unattached branch","./audio/328.mp3"
329,"yo'nháhtot̲e̲’","attached branch","./audio/329.mp3"
330,"Takʌ só:tsi’ akta nyʌhʌse’ tsi’ tkalutóte’ nén aslók","don’t go near the thorn tree.","./audio/330.mp3"
331,"Hʌ  né: ki’ kanutunyúhe̲’","yes, I’m thinking about it.","./audio/331.mp3"
332,"Ok nén wihsu ʌsatayalíte’ kʌ nʌ né:","what about the plums, are you going to can them?","./audio/332.mp3"
333,"Hao’ ki’wah tho’nʌ ʌtyatayálite̲’","ok then we will can it.","./audio/333.mp3"
